english term	urdu equivalent
anti matter	ضد مادہ
aperiodic	غیر دوری
aperture	روزن
aperture: effective aperture (antenna)	اخراجی رقبہ یا اخارجی سطح
Apollo	اپالو
apparent power: absolute value of complex power	ظاہری طاقت
aphelion	اوج شمس، اوج شمسی
apojee	اوج
applicable, fit	موزوں، کا اطلاق ہو سکتا ہے
Application: practical application	استعمال: عملی استعمال؛ کی اطلاق
applied	لاگو، عملی، اطلاقی
apply, apply voltage	لاگو کرنا، برقی دباؤ لاگو کرنا
appreciable	نمایاں
approach	پہنچنے کی کوشش کرنا
approach zero	صفر کے قریب تر
appropriate	موزوں، مناسب، درست
approximate, approximately, approximation	تخمین، تخمینہ، تخمیناً، تخمینی
Approximate: we can approximate sinx by its taylor series	ہم سائن کو تخمیناً اس کی ٹیلر تسلسل سے ظاہر کر سکتے ہیں
approximate: find approximate value of x	ایکس کی قیمت کا تخمینہ لگائیں
approximation errors	خلل تخمین
approximation polynomial	تخمینی کثیر رکنی
approximation: impulse approximation	تخمین ضرب
Approximate: approximate the curve with a chord	مشابہ
approximate	قریب قریب قیمت دینا
approximate: to approximate with	تخمیناً برابر کرنا
approximate value	اندازاً قیمت
approximation	تقریب
approximation polynomial	مشابہ کثیر رکنی
arbitrarily large (f is non-negative for arbitrarily large x means for every real number n, f is non-negative for an x greater than n)	کسی بھی بڑے عدد سے زیادہ بڑا
arbitrary	اختیاری، کوئی سا
arbitrary: arbitrary constant	اختیاری مستقل
arbitrary:divide in arbitrary manner	بے قاعدہ
arc, major arc, minor arc, sub arc	قوس، قوسِ کبیرہ، قوسِ صغیرہ, قوسچہ
arch	محراب
Archimedese: archimedian principle	اصول آرشمیدسی، آرشمیدس
Argand diagram: Jean Robert Argand	ژاں غوبغ اغگن  (فرانسیسی تلفظ)
argument: the argument of function f(wt+a) is wt+a	دلیل
Arithmetic (+ -  * /)	علم حساب، حساب
arithmetic mean	حسابی اوسط
arms	بازو، شاخ
armature coil, field coil	میدانی لچھا، قوی لچھا
around a closed loop	بند دائرہ کے گرد، دائرہ کے ہمراہ
array: broadside, end-fire	چوڑائی جانب اخراجی قطار، لمبائی جانب اخراجی قطار
artery	شریان
astronomical unit (au)	فلکیاتی اکائی   149,597,870  کلومیٹر
aspect ratio	تناسب پہلو
assert	وثوق سے کہنا، دعویٰ کرنا
assign values	قیمت مقرر کرنا، مختص
assign: preassigned	پیشگی مختص
associate	وابستہ
associated Legendre functions	شریک لیژانڈر تفاعل
Associative, associative law	قانون تلازمی، تلازم
assume (probability)	اختیار کرنا
astroids (not asteroids)	ستارہ نما
astronomy: radio astronomy	ریڈیائی فلکیات
asymptote, asymptotically	متقارب، متقاربی طور پر
asymptotic expansion	متقارب اتساع
asymptotically equal	متقاربی برابر
Atlantic ocean	بحرالقیانوس
atmosphere, one atmosphere	زمینی ہوا, ایک زمینی ہوا
Atom , subatomic, [atoms]	جوہر، زیر جوہر، [جوہروں]
attenuation constant (waves), attenuation	تضعیفی مستقل، تضعیف
audible	قابلِ سماعت
audio frequency	سمعی تعدد
autonomous (ordinary differential equations)	خود مختار
auxiliary equation (euler-cauchy eq)	ذیلی مساوات
available	دستیاب
axial length	محوری لمبائی، دُھرے کی سمت میں لمبائی
axial ratio (AR) of polarized wave	شرح رداس
axiom, axioms	مسلمہ، مسلمات
axiom (matric)	اصول متعارفہ
axis	کسی چیز کے اندر وہ خطِ مستقیم جس پر وہ چیز مساوی طور پر گھوم سکتی ہے
axis, easy axis	آسان محور، آسان سمت، نرم محور، نرم سمت
axis major, minor axis	محور اکبر، محور اصغر
axis of oscillation	محور اہتزاز
axis of polarization	محور تقطیب
axis of projection	سایہ اندازی کا محور
axis of revolution	محورِ طواف
axis of rotation	گھومنے کا محور
axis of rotation	گھومنے کا محور
axis of symmetry	محورِ تشاکل
axis of torque	مروڑ کا محور
axis of twist	محورِ پیچ، موڑ کا محور
axis of x	 کا محور x
axis: like axis of motor	محور: وہ فرضی خط جس پر کوئی جسم  گھومتا ہے
axis: vertical axis	انتصابی محور
azimuth, [azimuths]	اسّمت، [اسُّموت]
azimuthal quantum number	 شمالی کوانٹائی عدد، اسّمتی کوانٹائی عدد،
back	پشت
background	پس منظر
balanced three phase currents	متوازن تین دور کی برقی رو
balanced transmission line	متوازن ترسیلی تار
ball:open closed	کھلا گیند، بند گیند
Balthasar van der Pol	بلتاسار ون در پول
band: energy band	توانائی پٹی
Band: frequency band	پٹی: تعددی پٹی
band pass filter	پٹی گذار فلٹر
Band structure	پٹی دار ساخت
band stop filter	پٹی روک فلٹر
bandwidth	عرض پٹی
bandwidth: 3dB bandwidth	تین ڈیسی بیل  پٹی
Barkhausen criteria	برکہازن کا اصول
bar graph	ڈبہ ترسیم
baryon	بیریان
base (of a parametric curve)	بنیاد، بنیادی نقطہ
Base-2 (digital), basis(maths)	اساس دو، اساس
base (of say a table)	تلا،  پیندا (جیسے پائدان)
base, perpendicular, hypotenuse	قاعدہ، عمود، وتر
Basis (maths, vectors)	اساس
basis function	اساسی تفاعل
batch	کھیپ
BCD binary coded decimal	اعشاری اعداد کی دہری علامتیں
beam, log	لکڑ، شہتیر
beam solid angle (antenna)	اخراجی ٹھوس زاویہ
beats	تھاپ
beautiful (english)	شائستہ
behavior, behave	رویہ
bell: bell curve	جرس،  قوس جرس
Bell: John Bell	جان بل
bend, turn	مڑنا، واپس پلٹنا
bending moment	خماو کا معیار اثر
benzene	بنزین
Bernard Bolzano (german pronunciation)	برنارت بُلزانو
Bernoulli: Jacob Bernoulli (ordinary diff eq)	یعقوب برنولی
Berry’s phase	ہیّت بیری
Bessel function, spherical bessel function	بیسل تفاعل، کروی بیسل تفاعل
Beta function	بیٹا تفاعل
between	بیچ
bias, bias point	نکتہ کارکردگی
bifurcation value	دو لختی  قیمت
big bang (universe)	ابتدائی دھماکا
bin	ٹوکرا
binary data, number	ثنائی مواد، عدد
binding energy	بندشی توانائی
binomial theorem: persian mathematician Al-Karaji	الکراجی کا مسئلہ ثنائی
binomial coefficient, binomial distribution	ثنائی ترتیب، ثنائی سر، ثنائی تقسیم
binomial series	الکراجی ثنائی تسلسل
binormal vector	دوہری عمودی سمتیہ
biophysicist	ماہر حیاتی طبیعیات
Biot-savart law	بایوٹ و سیوارٹ کا قانون
bisector	مساوی متقاطع
bit	دہرا ہندسہ: ہندسہ
bit: binary code, binary digit, binary arithmetic	ثنائی need to change in digital book
blackbody	سیاہ جسم
blackbody radiation	سیاہ جسمی شعاعی اخراج، سیاہ جسمی اشعاع
blackboard	تختہ سیاہ
Bliss’s theorem	مسئلہ بلس
Bloch theorem	مسئلہ بلوخ
block	ڈبہ، اینٹ
blocked rotor test	جامد موٹر معائنہ
block diagram	خانے دار شکل
blood pressure	فشار خون
blood sugar	شکر خون
blow up, blows up	بے قابو بڑھنا
bobbin	پھرکی، چرخی
Bode: Hendrik Wade Bode	ہنڈرک واڈ بوڈا
Bode plots	بوڈا خطوط
Bohr formula, bohr radius	کلیہ بوہر، رداس بوہر
Bohr magneton	بوہر مقناطیسہ
bolt, nut	قابلہ، ڈھبری
Boltzmann constant	بولٹزمن کا مستقل
bond, bonded, covalent bond, [bonds]	بند، بندھ، شریک گرفتی بندھ، [بندھن پیدا ہونا]
boost converter: power supply	اٹھان منبع
Born approximation	بارن تخمین
Born interpretation	بارن مفہوم
Born-Oppenheimer approximation	بارن و اوپن ہائیمر تخمین
borrow, carry	حاصل، ادھار
Bose condensation	بوس انجماد
Bose-Einstein distribution	بوس و آئنشٹائن تقسیم
Boson (quantum mech)	بوسن
bounce back	ٹکرا کر واپس پلٹنا
bounce, bouncing	ٹپا کھانا یا دینا، ٹپٹپیاں کھانا یا دینا، ٹپکی
bound: upper bound	بالائی حد بندی
bound: upper bound; bounded from above (sequences)	بالائی حد بندی؛ اوپر سے محدود
bound: least upper bound (sequences)	کم سے کم بالائی حد بندی
bound electron, charge (used in dielectrics)	مقید یا قید الیکٹران (برقیہ)، بار
bound state (quantum mech)	مقید حال
boundary conditions	سرحدی شرائط
boundary value problems	سرحدی قیمت مسئلے
Bounded, unbounded (maths)	محدود، غیر محدود
bounded by sphere	کرہ میں محدود
boundedness	محدود ہونا
Braces {}	کنگنی قوسین
brachistochrone	کم وقتی منحنی
brackets	قوسین
brake	بریک، روک
bra and ket (quantum mechanics)	تفاعلیہ، سمتاویہ
branch point (Riemann surface)	تقسیمی نقطہ
break even point	نا منافع نا نقصان
breaking strength	طاقت توڑ
Brewster angle	بریوسٹر زاویہ؛ داؤد بریوسٹر کا نام ہے
bridge: suspension bridge	معلق پل
briefly	مختصراً
Brinell hardness	برینل سختی
britain, scotland, england, english	ولایت، سکاٹستان، انگلستان، فرنگی
broadside array, end-fire array	چوڑائی جانب اخراجی قطار، لمبائی جانب اخراجی قطار
brute force	طاقت کے بل بوتے پر
bubble chamber	بلبلہ خانہ
buffer	مستحکم کار
buffer, inverting, non inverting	وابسطہ: منفی وابسطہ
building	عمارت
build a function	تفاعل تیار کرنا
bulb	بتی
bulk modulus	جسیم مقیاس
bump	موڑا، ابھار
bumps and pots	پیچ و خم
but	تاہم
bypass capacitor	قصری کپیسٹر
byte, 8-bit (binary) data, (bit=binary ??)	بائٹ، ہشتم دہری عدد
by the way	ویسے
cable 	رسی
calculus	علم الاحصاء
calculate, compute	بذریعہ حساب تلاش کریں
calculator	کیلکولیٹر
calculus	احصاء
calculus of differences	الاحصاء فرقیات
calibration	پیمانہ بندی
californium	کیلی فورنیم
cam shaft	کیم دھرا
cancel (common factor}	مشترک جزو ضربی کاٹنا، منسوخ کرنا
cancellation laws (matrix multiplication)	قواعد تنسیخ
cancer: anna kane laird, Banjamin Gompertz	سرطان: اینا کین لایرڈ، بنجامن گامپرٹز
canonical, canonical substitution (quantum mech)	باضابطہ، باضابطہ متبادل پر کرتے ہوئے
canonical minterm, non-canonical minterm	تفصیلی رکنِ ضرب، سادہ رکنِ ضرب
Cantor-Dedekind axiom	مسلملہ کنتور و دے دے کند
capacitance, inductance	برقی گنجائش، امالہ یا امالیت
capacitor, inductor	برق گیر، امالہ گیر
capacitive, inductive	برق گیر کی خاصیت، امالہ کی خاصیت رکھنا، امالی، برق گیری
capacity, rating	استعداد
carbon dating	کاربنی تعین زمان
cardiac output	اخراج قلب
cardiod [r=a(1-cos x)]	قلب نما
carrier of energy	انتقالِ توانائی
carrier frequency, modulating frequency, carrier wave	تعددِ سوار، تعددِ سواری، سوار موج، سواری موج
carry, transfer	منتقل
Carry , borrow, sum, end carry	حاصل، ادھار، جمع،بقایا، آخری حاصل
carry: a quark carries spin ½	کوارک 1/2 چکر کا حامل ہوتا ہے
cart	ریڑھی
Cartesian co-ordinates system	کارتیسی نظامِ محدد
carton	گتے کا ڈبا
cases: three cases	تین صورتیں
casual	غیر محتاط، بے احتیاطی
catalyst, autocatalyst, [catalysis]	عمل انگیز، خود عمل انگیز، [عمل انگیزی]
catenary (maths: hanging chain)	لیزم
cathode	منفی برقیرہ
cation	مثبت بارداریہ
Cauchy	کوشی
Cauchy: Augustin Louis Cauchy	آگستن لوئی کوشی
Cauchy condensation test	کوشی پرکھ جمود
Cauchy's determinant	کوشی مقطع
Cauchy-Riemann equation	کوشی و ریمان مساوات
Cauchy-Schwarz inequality, Herman Amandus Schwarz	کوشی شوارز عدم مساوات، ہرمن امندس شوارز
cause, causal, causality	سبس، سببی  ، سببیت
causal: [ethereal]	[آسمانی]
caution	انتباہ
Cavalieri’s theorem ( Bonaventura Francesco Cavalieri)	مسئلہ کوالئیرے (بوناونتورا کوالئیرے)
ceiling and floor function	عدد صحیح چھت تفاعل، کم ترین عدد تفاعل
center of gravity	مرکز ثقل
center of mass	مرکز کمیت
central angle	وسطی زاویہ
centrifugal force	مرکز گریز قوت
centrifugal term	مرکز گریز جزو
centroid	وسطانی مرکز
celsius, fahrenheit	سیلسیئس، فارن ہائیٹ
centripetal force	مرکز مائل قوت
chance	امکان، اتفاق
chaos	ابتری
Chambers [name]	چیمبرز
chamber, turbine chamber	خانہ، چرخی خانہ
Chandrasekhar limit	چندرشیکھر حد
chapter	باب
chain reaction	مسلسل تعامل
characteristic, characteristics	خاصیت، خصوصیات ، خصلت
characteristic: magnitude characteristic, phase characteristic (Bode plot)	مقداری خصلت، زاویائی خصلت
characteristics	خصوصیات، خط، خطِ منحنی، منحنی
characteristic equation,  (differential equations as^2+bs+c=0)	امتیازی مساوات
characterize	تصویر کشی کرنا
charge, free, bound	آزاد اور بندھا بار
charge, discharge a capacitor	بار بھرنا، بار کا نکاس
charged	بار بردار
Charles Dalziel (electrical shock)	
chain rule (differentiation)	زنجیری طریقہ، زنجیری قاعدہ
Chebyshev polynomials: Pafnuty Lvovich Tchebichef	چبیشف کثیر رکنی۔ پفنوٹی لوو وچ چبیشف
check	جانچ پڑتال، جانچنا
chemist	کیمیا دان
chemistry	علم کیمیا
chimney	دھواں کش
chirp (dispersion)	چہچہاہٹ
chlorine	کلورین
choose	چن
chord	خط مستقیم
circle, concentric circles	گول دائرہ، ہم مرکز دائرے
circle of curvature	دائرہ انحنا
circuit breaker	خود کار منقطع کار
circuit,  electric circuit	برقی دور:موصل کا کوئی ایسا نظام جسے اس طرح ترتیب دیا جائے اور یوں ملایا جائے کہ برقی رو اس کے ذریعے گزر سکے 
circuit, phase	
circular motion	دائرے پر حرکت
circulation (fluid motion leading to CURL)	دائری بہاو
circumference	محیط
circus	تماش گاہ
classical	کلاسیکی
classification	 ابلاغ، ذرائع ابلاغ
class	جماعت
class midpoints, class marks	جماعتی وسطی نقطے، جماعتی نشان
class interval	جماعتی وقفہ
class room	تدریسی کمرہ
clear, preset	زبردستی بلند، زبردستی پست
clearly	صراحت، صریحاً
Clebsch-Gordan coefficients	کلیبش و گورڈن عددی سر
cliff	چٹان، کھڑا چٹان
clockwise, anti clock wise	گھڑی کی سوئی کے رخ، گھڑی کی سمت
clock signal	ساعتی اشارہ
clone	قلمیہ
closed, open	بند، کھلا
closed loop	بند دائرہ
closed solution, closed form	بند حل، بند روپ
closest, farthest	دور تر، نزدیک تر
CMRR	مشترکہ اشارہ رد کرنے کے صلاحیت
coaxial cable	ہمہ محوری تار
Cobolt	کوبالٹ
code, codes	رمز، رموز، رمزیات، رمزوں
coding	رمز نویسی
coefficient	ضربیہ، عددی سر
coefficient matrix	عددی سر قالب
coefficient: reflection, transmission	شرح انعکاس، شرح ترسیل
Cofactor (determinants and matrices)	ہم ضربی
coherence, incoherence	اتساق، عدم اتساق
coherent, incoherent states (quantum mech)	منطقی حالات، اتساقی حال، غیر اتساقی حال
co-president	ہم صدر
coil	لچھا،گچھ لچھا، تقسیم شدہ لچھا
coincidence, coincident lines	ہم مکانیت، ہم مکان خطوط
coin flipping	سکہ پھیکنا
collapse (wave function)	بیٹھنا، گر پڑتا ہے، گرنا، انہدام، منہدم
Collect, collection	اکٹھا کرنا، ذخیرہ
collimator	توازی گر
collinear, noncollinear	ہم خطی، غیر ہم خطی
column	ستون
column (matrix)	قطار
combination: linear combination (maths y3=ay1+by2)	ملاپ: خطی مجموعہ
combinations, [permutations]	اجتماعات [ترتیبی اجتماعات]، غیر مرتب اجتماعات، [مرتب اجتماعات]
combination: triplet combination (Quantum mech)	سہ تا ملاپ
combinatorial	غیر مرتب اجتماعی
combinational circuits	ترکیبی ادوار
combine, combined	ملائیں، ملاپ
Combine, combined state (quantum mech)	مجموعی حال
combine: combined wave function (quantum mech)	مجموعی تفاعل موج
comet	دم دار ستارہ
comment, [discuss]	تبصرہ، [بحث]
common emitter amplifier, common collector and common base	ایمٹر مشترک ایمپلیفائر، کلکٹر مشترک اور بیس مشترک
common mode signal	مشترکہ اشارہ
communication	 ابلاغ، ذرائع ابلاغ
commutes [QM] (A commutes with B)	اے اور بی قابل تبدل ہیں۔
commuting, noncommuting [QM]	قابل تبادل، ناقابل تبادل
commutation [QM]: canonical commutation relation	باضابطہ تبادلی رشتہ
commutative, commutation	قابل تبادل، تبادلی
commutator (quantum mech)	تبادل کار
commute: A and B commute	الف اور ب آپس میں قابل تبادل ہیں۔
commutative law, commutative law of multiplication (maths)	قانون تبادل، ضرب کا استبدالی قانون
commutator [DC machines]	میکانی سمت کار
Commutation [quantum mech]	مقلبیت
commutation [QM]: canonical commutation relation	باضابطہ مقلبیت رشتہ
commutator, commutators  (quantum mech)	مقلب، مقالب
Commutes (quantum mech)	مقلوب؛ الف اور ب مقلوب ہیں۔  الف کے ساتھ ب مقلوب ہے،
commuting [QM]	مقلوبی
Commutes [QM] (A commutes with B)	اے اور بی آپس میں مقلوب ہیں۔ اے اور بی مقلوب ہیں۔
commutative[QM]	مقلبی
company	ادارہ
comparable	مد مقابل، ہم پلّہ
compare	موازنہ، مقابلہ
comparison test	تقابلی پرکھ
compass: magnetic compass	مقناطیسی قطب نما
compatible, incompatible	ہم آہنگ، غیر ہم آہنگ
complement	متمم
complementation	اتمام
complementary	تتمی
complementary angle, antenna	زاویہ مکملہ، تکملہ اینٹینا
complementary solution: natural response (diff eq)	فطری رد عمل
Complete, completeness	مکمل، مکملیت
complex analysis, advanced complex analysis	مخلوط تجزیہ، اعلٰی درجہ مخلوط تجزیہ
complex number	مخلوط عدد: ایک حقیقی عدد جو کسی فرضی عدد کے ساتھ شامل کر لیا جائے
complex number: real number, imaginary number	مخلوط عدد: حقیقی عدد، خیالی عدد، تخیلی عدد
complex conjugate, complex conjugate of alpha	 مخلوط جوڑی دار، مخلوط جوڑی دار الفا
complex plane	مخلوط سطح
complicated	پیچیدہ
component	جزو، پرزہ، پرزہ جات
composite function	مرکب تفاعل
composition (linear transformations)	نظم تبادلہ
compound machine: DC	مرکب مشین
compound machine:short compound machine	قریب مرکب اور دور مرکب مشین
compressibility, compressibility factor, compressibility coefficient	داب پذیری، جزو داب پذیری، دابیت شرح
compressible	داب پذیر
compression	داب؟؟
compression	دباؤ کی موج
compute	حساب لگانا
computer	حاسب
computer algebra system	محاسب الجبرائی نظام
concave, (convex)	مجوف، (محدب) ؟؟
concavity	محدبیت
concentration, concentrated, concentrate	گاڑھاپن، گاڑھا، گاڑھا بنانا، گھنا پن
concentrated at a point	نقطہ پر منجمد
concept	تصور
conclusive, inconclusive, (conclusion)	فیصلہ کن، غیر فیصلہ کن، (ماخوذ)
condition (grammatical use)	  پابندی
conductance (Y=1/Z=G+jB, G is conductance) it is like 1/R	ایصالیت
conduction current	ایصالی رو
conduction heat	ایصال حرارت
conductor, conductivity	موصل، موصلیت،غیر موصل
conductivity	موصلیت کا مستقل
cones, rods: eye	مخروطے، سلاخ
Confidence, confidence interval	اعتماد، وقفہ اعتماد
confidence: lower and upper confidence limits	نچلی اور بالائی حد اعتماد
confidence level	سطح اعتماد
configuration,[configured], {configure}	تشکیل، [متشکل]، {تشکیلی}
conflicting requirements	متصادم ضروریات، تضاد ضروریات
confocal	ہم ماسکہ
conformal mapping, conformality	محافظ زاویہ نقشہ، محافظت زاویہ
confusion	غلط فہمی
congruent triangles	مماثل تکون
conic	مخروطی
conjugate complex number	زوجی مخلوط اعداد، جوڑی دار مخلوط اعداد
conjugate harmonic function	جوڑی دار ہارمونی تفاعل
connected region (simple, multiply)	تعلق (دار) خطہ؟؟
connected (set)	جڑا  ہوا (سلسلہ)
connected: star, Delta	ستارا نما جُڑے، تکونی جُڑے یا تکون نما جُڑے
connection, connected	جوڑ، جوڑا ہوا
connection formulas (quantum mech)	کلیات جوڑ
connectivity	ربط
conservation of energy	اٹل
conservative field	بقائی میدان
conserved: is conserved	بقائی ہے
consider	ملاحظہ، مشاہدہ، تجزیہ
consist	مبنی ہونا
consistent, inconsistent (systems, maths)	بلا تضاد، متضاد
consistent,  inconsistent, [consistency]	ثبات، غیر ثبات، [ثباتی]
Constant (matric book)	مستقل
constants	مستقلات
constant: constant current	مستقل برقی رو
constant: separation constant	علیحدگی مستقل، علیحدگی مستقلہ
constant, variable	مستقل،اٹل،  متغیر
constant of integration or arbitrary constant	تکمل کا مستقل یا اختیاری مستقل؛ اختیاری مستقلہ
constitute	 قائم کرنا
constrained, constrained maxima and minima	جبراً پابند، جبری پابند, مشروط زیادہ سے زیادہ اور کم سے کم قیمتیں
constraint	مسلط شرط، مسلط پابندی
construction (matric)	عمل بناوٹ (تشکیلات)
construct (spherical harmonic Y_l^m)	تشکیل دینا، مرتب کرنا، بنانا
consumption matrix	قالب صرف
contact, bring into contact	تماس میں لانا، [مس]
contact potential	مس مخفیہ
container	برتن
content	مشمول
context	سیاق و سباق
continues to move	حرکت کیے جاتا ہے
continued: example continued	مثال جاری
continual	مستمِر
continuity	استمرار
continuity equation	استمراری مساوات
continuity: uniform continuity	یکساں استمرار
continuous extension	استمراری توسیع
continuous field, discontinuous	بلا جوڑ میدان، جوڑ دار
continuous: piecewise	ٹکڑوں میں استمراری
continuous: right-continuous, left-continuous	دائیں استمراری، بائیں استمراری
continuum	استمراریہ
contour, contour integral	خط ارتفاع، ارتفاعی تکمل
contraction and expansion	، سکڑاو اور توسیع
control	قابو، قابو پانا
control chart	نقشہ ضبط
control: out of control	بے قابو
control process	عمل قابو
controlled voltage source, controlled current source	تابع منبع دباو، تابع منبع رو
controlled: voltage controlled voltage source	دباو تابع منبع دباو
controlled:voltage controlled current source	دباو تابع منبع رو
control:current controlled voltage source	رو تابع منبع دباو
control:current controlled current source	رو تابع منبع رو
convection current (electrical)	اتصالی رو
convection heat	اتصال حرارت
convenience	اپنی سہولت کے لئے
converge, convergent	مرکوز، مرتکز
convergence	مرکوزیت، ارتکاز
convergence: absolute, conditional	مطلق مرتکز، مشروط مرتکز
convergence: Gauss's convergence theorem	گاوسی مسئلہ ارتکاز
convergence factor	ارتکازی جزو
convergence interval	ارتکازی وقفہ
convergence radius	رداس ارتکاز
convergent: absolutely convergent	مطلق مرکوز، مطلق مرتکز
convergent series, divergent series	مرکوز تسلسل، منفرج تسلسل
convenient	پر آسائش، موزوں
convention	روایت، رائج
conventional	روایتی
convolution integral	تکمل الجھاو
convolution theorem	مسئلہ الجھاو
convolution: time convolution (Fourier transform)	وقتی الجھاو
coplanar	ہم سطحی
copper	تانبہ، تانبے کا بنا ہوا
